発売年,メーカー,タイトル,ハード,ジャンル,容量(bit),価格,ジョブカテゴリ,カウント,マッパー,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1986-01-01,アスキー,1942,MSX,SHT,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,アスキー,1942,MSX2,SHT,1M,"￥5,980","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,アイレム,10ヤードファイト,MSX,SPT,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,カシオ,16KB増設RAMカートリッジ,MSX,ETC,16K,￥,￥0代,1,?,,,,,,,,
1985-01-01,ヤマハ,32KB拡張RAMカートリッジ,MSX,ETC,32K,"￥9,800","￥10,000代",1,?,,,,,,,,
1983-01-01,T＆E SOFT,3Dゴルフシミュレーション,MSX,SLG,16K,"￥5,800","￥6,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,T＆E SOFT,3Dゴルフシミュレーション・高速版,MSX,SLG,16K,"￥5,800","￥6,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,アスキー,3Dテニス,MSX,SPT,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1980-01-01,ＨＡＬ研究所,8つの戦場,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1983-01-01,東芝/東芝ＥＭＩ,A.E.(AE),MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1980-01-01,ＨＡＬ研究所,ALTERSSTELA,MSX2,-,1M,￥,￥0代,1,?,,,,,,,,
1989-01-01,ポニーキャニオン,A列車で行こう,MSX2,-,1M,"￥7,800","￥8,000代",1,ASCII_16KB+SRAM,,,,,,,,
1980-01-01,日本エレクトロニクス,BANGBANG(BANG!BANG!),不明,-,不明,￥,￥0代,1,?,,,,,,,,
1985-01-01,ハート電子産業,BASICコンパイラ,MSX,-,不明,"￥15,000","￥15,000代",1,?,,,,,,,,
1984-01-01,カシオ,BASIC入門,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,BASIC入門2,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1983-01-01,レイゾン,BEE＆FLOWER,MSX,-,16K,"￥4,800","￥5,000代",1,*0,,,,,穴見真吾,,,
1985-01-01,コーラル,CAP-XMASTER,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1984-01-01,日本エレクトロニクス,CHEESE,MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,日本エレクトロニクス,CHEESE2,MSX2,-,32K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,D-DAY,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,日本テレネット,DIRESネットワーク・バージョン,MSX2,-,1M,￥,￥0代,1,ASCII_8KB+SRAM,,,,,,,,
1985-01-01,ヤマハ,DISK日本語ワープロユニット,MSX,-,不明,"￥49,800","￥50,000代",1,?,,,,,,,,
1987-01-01,アイツー,Dr.COPY電光石火PartII,MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1984-01-01,ヤマハ,DX7音色プログラム,MSX,-,16K,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1986-01-01,ヤマハ,DX7音色プログラム2,MSX,-,不明,"￥9,800","￥10,000代",1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,DX9音色プログラム,MSX,-,不明,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,E.I.HBS-G017C,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1988-01-01,ソニー,EasyTelopper2,MSX2,-,不明,"￥39,000","￥39,000代",1,?,,,,,,,,
1984-01-01,ＨＡＬ研究所,EDDY2,MSX,-,16K,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,システムソフト,F-15ストライクイーグル,MSX2,-,1M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1985-01-01,NEXA,F16ファイティングファルコン,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,コナミ,F1スピリット,MSX,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1985-01-01,ヤマハ,FB-01音色プログラム,MSX,-,32K,￥,￥0代,1,*0,,,,,,,,
1980-01-01,サブロジック,FliqhtSimulatorwithTorpedo,MSX2,-,1M,￥,￥0代,1,?,,,,,,,,
1985-01-01,ヤマハ,FMオート・アレンジャー,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1986-01-01,ヤマハ,FMオート・アレンジャーUTILITY,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,FMサウンドシンセサイザーユニット,MSX,-,不明,"￥19,800","￥20,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,FMサウンドシンセサイザーユニット2,MSX,-,不明,"￥29,800","￥30,000代",1,?,,,,,,,,
1984-01-01,ヤマハ,FMミュージックコンポーザ,MSX,-,16K,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1984-01-01,ヤマハ,FMミュージックコンポーザ2,MSX,-,32K,"￥9,800","￥10,000代",1,Mirrored,,,,,,,,
1984-01-01,ヤマハ,FMミュージックマクロ,MSX,-,32K,"￥7,800","￥8,000代",1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,FMミュージックマクロ2,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1985-01-01,リットーミュージック,FMミュージックライター,MSX,-,不明,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,ヤマハ,FM音色プログラム,MSX,-,16K,"￥7,800","￥8,000代",1,Standard(startat0x4000),,,,,,,,
1985-01-01,ヤマハ,FM音色プログラム2,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1987-01-01,パナソフト,FS-FD1DiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1987-01-01,パナソフト,FS-FD1ADiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1985-01-01,松下電器産業,FS-FD351DiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1980-01-01,松下電器産業,FS-SR021ワープロカートリッジ,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,松下電器産業,FS-SR022MSX文節変換辞書,MSX,-,32K,￥,￥0代,1,[FS-SR022_MSX文節変換辞書] rom,,,,,,,,
1980-01-01,松下電器産業,FS-SR02348ドット毛筆カートリッジ,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1985-01-01,ポニーキャニオン,G.P.ワールド,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,ＨＡＬ研究所,HALNOTE,MSX2,-,8M,"￥29,800","￥30,000代",1,[Halnote] rom,,,,,,,,
1987-01-01,ソニー,HBD-F1DiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1988-01-01,ソニー,HB-F1XDJDiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1988-01-01,ソニー,HB-F1XVDiskBasic1.0,MSX,-,16K,￥,￥0代,1,?,,,,,,,,
1985-01-01,ハドソン,Hucalデータ君,MSX,-,不明,"￥12,800","￥13,000代",1,?,,,,,,,,
1984-01-01,アスキー,J.P.ウインクル,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,マスティール,JUMP,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,ピクセル,LIFEM36PLANET,不明,-,不明,￥,￥0代,1,ASCII_8KB,,,,,,,,
1980-01-01,BIT2,MIDIサウルス,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,ヤマハ,MIDIマクロ,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,ヤマハ,MIDIレコーダ,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1983-01-01,アスキー,MOLE,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ＨＡＬ研究所,Mr.CHIN,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,日本コロムビア,Mr.Doワイルドライド,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,上田和敏,,,,
1984-01-01,日本コロムビア,Mr.Do!,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,上田和敏,,,,
1986-01-01,アスキー,MSXAID,MSX,-,16K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1985-01-01,東芝/東芝ＥＭＩ,MSXAudio,MSX,-,不明,￥,￥0代,1,Standard(startat0x4000),,,,,,,,
1988-01-01,パナソフト,MSXAudio,MSX,-,1M,￥,￥0代,1,[MSX-AUDIO] rom,,,,,,,,
1990-01-01,アスキー,MSXHDInterface,MSX2,-,不明,"￥30,000","￥30,000代",1,?,,,,,,,,
1986-01-01,アスキー,MSXPLAN,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1980-01-01,アスキー,MSXView漢字ROM,MSXTurboR,-,2M,￥,￥0代,1,ASCII_16KB,,,,,,,,
1983-01-01,アスキー,MSXダービー,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,東海クリエイト,MSXパソカルク,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1980-01-01,TIM,MSXプログラムコレクション50本1,MSX,-,4M,￥,￥0代,1,?,,,,,,,,
1980-01-01,TIM,MSXプログラムコレクション50本2,MSX,-,4M,￥,￥0代,1,?,,,,,,,,
1980-01-01,TIM,MSXプログラムコレクション50本3,MSX,-,2M,￥,￥0代,1,?,,,,,,,,
1986-01-01,アスキー,MSXべーしっ君,MSX,-,16K,"￥4,500","￥4,500代",1,Standard(startat0x4000),,,,,,,,
1988-01-01,アスキー,MSXべーしっ君ぷらす,MSX2,-,16K,"￥6,800","￥7,000代",1,Standard(startat0x4000),,,,,,,,
1988-01-01,ハイスコア,MSX英和辞典,MSX,-,1M,"￥8,800","￥9,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,MSX花札,MSX,-,不明,"￥6,800","￥7,000代",1,?,,,,,,,,
1985-01-01,ソニー,MSX将棋,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1991-01-01,アスキー,MSX増設RAMカートリッジ,MSX2,-,不明,"￥30,000","￥30,000代",1,?,,,,,,,,
1988-01-01,ソニー,MSX通信カートリッジ,MSX,-,不明,"￥32,800","￥33,000代",1,?,,,,,,,,
1988-01-01,ソニー,MSX標準日本語カートリッジ,MSX2,-,不明,"￥17,000","￥17,000代",1,?,,,,,,,,
1983-01-01,アスキー,MSX-21,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1980-01-01,アスキー,MSX-DOS2,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1980-01-01,アスキー,MSX-DOS2(RAM付),不明,-,不明,￥,￥0代,1,?,,,,,,,,
1988-01-01,徳間書店／テクノポリス,MSXFANファンダムライブラリ1,MSX,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,徳間書店／テクノポリス,MSXFANファンダムライブラリ2,MSX,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,徳間書店／テクノポリス,MSXFANファンダムライブラリ3,MSX,-,2M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1986-01-01,プロモテック,MSX-logo,MSX,-,32K,"￥9,800","￥10,000代",1,?,,,,,,,,
1990-01-01,アスキー,MSX-SERIAL232,MSX,-,不明,"￥20,000","￥20,000代",1,?,,,,,,,,
1988-01-01,キャンドゥ,MUSICIAN1,MSX,-,不明,"￥12,800","￥13,000代",1,?,,,,,,,,
1987-01-01,東京書籍,NEWHORIZON中学1年,MSX,-,1M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1987-01-01,東京書籍,NEWHORIZON中学2年,MSX,-,1M,￥,￥0代,1,?,,,,,,,,
1987-01-01,東京書籍,NEWHORIZON中学3年,MSX,-,1M,￥,￥0代,1,?,,,,,,,,
1985-01-01,リンクス,NGA,MSX,-,不明,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,リンクス,NGAII,MSX,-,不明,￥,￥0代,1,Mirrored,,,,,,,,
1983-01-01,ＭＩＡ,NYOROLS,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,リットーミュージック,PSGミュージックライター,MSX,-,16K,"￥5,300","￥5,500代",1,Mirrored,,鈴木清崇,,天野明(原案)|浅野恭司|常木志伸|天野明(原案)|浅野恭司|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之|浅野恭司|青木康浩|常木志伸|寺岡賢司|石渡マコト|天野明(原案)|恩田尚之|浅野恭司(全章)|阿部恒(Case.1&3)|青木康浩(Case.2)|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之,菅野祐悟,サイコパス製作委員会,,
1986-01-01,ヤマハ,PSエディタ,MSX,-,不明,"￥9,800","￥10,000代",1,?,,鈴木清崇,,天野明(原案)|浅野恭司|常木志伸|天野明(原案)|浅野恭司|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之|浅野恭司|青木康浩|常木志伸|寺岡賢司|石渡マコト|天野明(原案)|恩田尚之|浅野恭司(全章)|阿部恒(Case.1&3)|青木康浩(Case.2)|天野明(原案)|恩田尚之|天野明(原案)|恩田尚之,菅野祐悟,サイコパス製作委員会,,
1986-01-01,コナミ,Qバート,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,ワーレン・デイビス,ワーレン・デイビス|ジェフリー・P・リー|テリー・ドゥーアーザフ,デヴィッド・ティール,,,
1985-01-01,ヤマハ,RGBユニット,MSX,-,不明,"￥9,800","￥10,000代",1,?,,,,,,,,
1988-01-01,アイレム,R-TYPE,MSX,-,3M,"￥7,300","￥7,500代",1,[R-TYPE] rom,,,SUM|MISACHIN,ABIKO|AKIO|YOSHIGE,石崎正人,,,
1985-01-01,ヤマハ,RXエディタ,MSX,-,不明,"￥12,800","￥13,000代",1,?,,,,,,,,
1987-01-01,ジャスト,SFアダルトアドベンチャーエリカ,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1980-01-01,コーラル,SimpleASMVol.1,MSX,-,16K,￥,￥0代,1,Mirrored,,,,,,,,
1985-01-01,コーラル,SimpleASMVol.2,MSX,-,不明,"￥12,800","￥13,000代",1,?,,,,,,,,
1988-01-01,コナミ,THEプロ野球激突ペナントレース,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami58KB(SCC),,,,,,,,
1986-01-01,アスキー,TZRグランプリライダー,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1986-01-01,キャノン販売,V-WORD,MSX,-,不明,"￥34,800","￥35,000代",1,?,,,,,,,,
1992-01-01,BIT2,μ.PACK,MSXTurboR,-,不明,"￥19,800","￥20,000代",1,?,,,,,,,,
1989-01-01,ポニーキャニオン,アークテック,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,カシオ,アイスワールド,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,カシオ,アイスワールド2,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,ポニーキャニオン,アイドロン,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,ポニーキャニオン,アウトラン,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,三船敏(アーケード)|香川忠司(アーケード)|大江玲(アーケード)|中裕司(セガ・マークⅢ),鈴木裕(アーケード)|石井洋児(アーケード)|松浦稔(アーケード)|貞森康毅(セガ・マークⅢ),川口博史(アーケード)|上保徳彦(セガ・マークⅢ),,,
1983-01-01,ゼネラル,アクアポリスSOS,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,東芝/東芝ＥＭＩ,アクゥアタック,MSX,-,16K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,マスティール,アクトマン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,クリストフ・ベック,スタン・リー|ラリー・リーバー|ジャック・カービー|『アントマン』,,
1988-01-01,BIT2,アクロジェット,MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,T＆E SOFT,アシュギーネ虚空の牙城,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1987-01-01,マイクロキャビン,アシュギーネ復讐の炎,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,アスキー,アスレチックボール,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,とみさわ昭仁,,,,
1986-01-01,パックスソフトニカ,アタックフォー女子バレー,MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1983-01-01,ＭＩＡ,アドベン・チュー太,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ＧＡ夢／HOT-B,アナザ(ア・ナ・ザ),MSX,-,32K,"￥5,500","￥5,500代",1,Mirrored,,,,,,,,
1987-01-01,エニックス,アニマルランド殺人事件,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1984-01-01,ＨＡＬ研究所,アニメエディタEDDY,MSX,-,不明,"￥14,800","￥15,000代",1,?,,,,,,,,
1987-01-01,タイトー／ニデコ,アメリカンサッカー,MSX2,-,64K,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1985-01-01,日本テレネット,アメリカントラック,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1986-01-01,ザインソフト,アラモ,MSX,-,32K,"￥5,800","￥6,000代",1,Standard(startat0x4000),,,,,,,,
1984-01-01,ソニー,アリババと40人の盗賊,MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1985-01-01,ポニーキャニオン,アルカザール,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,タイトー／ニデコ,アルカノイド,MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1987-01-01,タイトー／ニデコ,アルカノイドII,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB,,,,,,,,
1988-01-01,KGD,アルギースの翼,MSX2,-,2M,￥,￥0代,1,ASCII_8KB,,,,樋上いたる|門之園恵美|池田和美,折戸伸治|戸越まごめ|麻枝准,志茂文彦,馬場隆博,
1986-01-01,日本テレネット,アルバトロス,MSX,-,32K,"￥6,800","￥7,000代",1,Mirrored,,,,,,,,
1984-01-01,ソニー,アルファスクアドロン,MSX,-,16K,"￥4,000","￥4,000代",1,Mirrored,,,,,,,,
1986-01-01,ポニーキャニオン,アルファロイド,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,コンパイル,アレスタ,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1980-01-01,コンパイル,アレスタ2,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1984-01-01,マスティール,アンジェロ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ボースティック,アンティ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,コナミ,イーアルカンフー,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,東野美紀,,,
1985-01-01,カシオ,イーアルカンフー,MSX,-,16K,"￥4,800","￥5,000代",1,?,,,,,東野美紀,,,
1985-01-01,コナミ,イーガー皇帝の逆襲,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,イーガー皇帝の逆襲,MSX,-,32K,"￥4,800","￥5,000代",1,?,,,,,,,,
1985-01-01,カシオ,イーグルファイター,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,タケル／ブラザー工業,イエローサブマリン,MSX,-,16K,"￥2,500","￥2,500代",1,Mirrored,,,,,,,ジョージ・マーティン,
1988-01-01,ナムコ,イシターの復活,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_16KB,,,内藤智,遠藤雅伸|篠崎雄一郎,小沢純子,遠藤雅伸,,
1986-01-01,日立製作所,イラストワープロ,MSX2,-,不明,"￥29,800","￥30,000代",1,?,,,,,,,,
1983-01-01,アスキー,イリーガスエピソードIV,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1983-01-01,ハドソン,インディアンの冒険,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,東宝,インファント島の秘密モンスターズフェア,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1987-01-01,ハート電子産業,ヴァクソル,MSX,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1987-01-01,ビクター音産,ヴィーナスファイヤー,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,アスキー,ウィザードリィI,MSX2,-,4M,"￥12,800","￥13,000代",1,ASCII_8KB+SRAM,,,,,,,,
1987-01-01,エニックス,ウイングマン2ダークキラーの復活,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_8KB,,,,,,,,
1983-01-01,アスキー,ウォーリア,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1985-01-01,イエローホーン,ウォーロイド(WARROID),MSX,-,32K,"￥5,800","￥6,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,ヴォルガード,MSX,-,32K,"￥5,800","￥6,000代",1,?,,,,,,,,
1985-01-01,デービーソフト,ヴォルガード,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1987-01-01,コナミ,ウシャス,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,,,,,,
1987-01-01,デービーソフト,うっでぃぽこ,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,小林貴樹|松井文也,高殿収,斉藤康仁,,吉田めぐみ,
1987-01-01,マイクロキャビン,うる星やつら恋のサバイバルパーティ,MSX2,-,4M,￥,￥0代,1,ASCII_8KB,,,,,,,,
1987-01-01,ポニーキャニオン,ウルティマ恐怖のエクソダス,MSX2,-,2M,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1984-01-01,バンダイ,ウルトラマン,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,金城哲夫 ほか,,
1987-01-01,スクウェア,エイリアン2,MSX,-,1M,"￥5,900","￥6,000代",1,ASCII_16KB,,,,,ジェームズ・ホーナー,キャラクター創造|ダン・オバノン|ロナルド・シャセット,,
1986-01-01,日本デクスタ,エイリアン8,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,ジェリー・ゴールドスミス,ダン・オバノン,,
1983-01-01,アスキー,エクスチェンジャー,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1984-01-01,ジャレコ,エクセリオン(EXERION),MSX,-,16K,"￥4,500","￥4,500代",1,Mirrored,,,,,,,,
1986-01-01,カシオ,エクゾイドZ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,カシオ,エクゾイドZエリア5,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,ＨＡＬ研究所,エッガーランドミステリー,MSX,-,32K,"￥5,600","￥5,500代",1,Mirrored,,,,,,,,
1986-01-01,ＨＡＬ研究所,エッガーランドミステリー2迷宮神話,MSX,-,1M,￥,￥0代,1,ASCII_16KB,,,,,,,,
1988-01-01,ＮＣＳ,エルスリード,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_8KB+SRAM,,,,,,,,
1985-01-01,タイトー／ニデコ,エレベーターアクション,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,今村善雄,,,
1985-01-01,コンプティーク,オイルズ・ウェル,MSX,-,32K,"￥5,900","￥6,000代",1,Mirrored,,,,,,,,
1988-01-01,和知電子機器,お絵かきソフト画楽多,MSX2,-,64K,￥,￥0代,1,ASCII_16KB,,,,,,,,
1988-01-01,システムソフト,オーガ(OGRE),MSX2,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,ポニーキャニオン,オセロ(Othello),MSX,-,16K,"￥4,900","￥5,000代",1,Mirrored,,,,,中西ゆういちろう,鈴木光司|久保幸湖|谷井美佳|中村真夕,山崎宏太(朝日放送テレビ)|南雄大(朝日放送テレビ)|齋藤浩司(ヒューマックスシネマ)|若山佑介(ヒューマックスシネマ)|山口誠(47style),
1983-01-01,ＭＩＡ,おてんばベッキーの大冒険,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,ナオト・インティライミ(作詞・作曲),,,
1986-01-01,コンパイル,ガーディック,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,カーファイター,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1988-01-01,日本テレネット,ガーリーブロック,MSX2,-,1M,"￥6,800","￥7,000代",1,ASCII_16KB,,,,,,,,
1983-01-01,アスキー,カーレース(CARRACE),MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1985-01-01,カシオ,カシオワールドオープン,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1980-01-01,アートサプライ,カップル,不明,-,不明,￥,￥0代,1,?,,,,,,,,
1986-01-01,ポニーキャニオン,カモン!ピコ,MSX,-,32K,"￥4,900","￥5,000代",1,Mirrored,,,,,ポール・マッカートニー,,ポール・マッカートニー| ジョージ・マーティン,
1983-01-01,アスキー,カラー・トーチカ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,マジックソフト,カラー・ミッドウエイ,MSX,-,16K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1983-01-01,ハドソン,カラーボール,MSX,-,8K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1984-01-01,ＨＡＬ研究所,カラ丸珍道中,MSX,-,16K,"￥4,800","￥5,000代",1,Basic(startat0x8000),,,,,,,,
1986-01-01,ポニーキャニオン,ガルケイブ,MSX,-,32K,"￥4,800","￥5,000代",1,Mirrored,,,,,,,,
1986-01-01,ソニー,ガルフォースカオスの攻防,MSX,-,1M,"￥5,800","￥6,000代",1,ASCII_16KB,,,,,,,,
1985-01-01,コスモスコンピュータ,カレイジアスペルセウス,MSX,-,32K,￥,￥0代,1,Mirrored,,,,,,,,
1980-01-01,アスキー,かんたん手帳リファイルの攻防,MSX2,-,1M,￥,￥0代,1,?,,,,,,,,
1987-01-01,コナミ,がんばれゴエモン!からくり道中,MSX2,-,1M,"￥5,800","￥6,000代",1,Konami48KB(noSCC),,,梅崎重治|青山和浩,橋本和久,寺島里恵,,,
1986-01-01,日本デクスタ,ガンフライト,MSX,-,32K,"￥5,700","￥5,500代",1,Mirrored,,,,,デイヴィッド・ラクシン,ハル・グッドマン|ラリー・クレイン,,
